chrom	start	end	vcf_prefix	output_bcf	output_bcf_idx	output_vep	output_vep_idx
chr21	14537160	14539999	ukb24310_c21_b726_v1.chunk4	file-J16VzGjJQJGvk099j693996x	file-J16VzJjJQJGf1x680062p7J9	file-J16VzK0JQJGzg0gFJVGQQ6FK	file-J16VzK0JQJGqq72XggjVXv5V
chr21	14655879	14660000	ukb24310_c21_b732_v1.chunk4	file-J16X040JQJGvBg6yXkfz8KGG	file-J16X050JQJGyqFbZXfVGZ8Z1	file-J16X050JQJGyqFbZXfVGZ8Z3	file-J16X058JQJGy769653xpg9Fx
chr21	14445592	14451378	ukb24310_c21_b722_v1.chunk2	file-J16X4V8JQJGg71f824yxvPqz	file-J16X4XjJQJGX5YPpbzFVY5fv	file-J16X4Y0JQJGb3gfJVGj49895	file-J16X4Y8JQJGg71f824yxvPv5
chr21	14440002	14445591	ukb24310_c21_b722_v1.chunk1	file-J16X4X8JQJGjQJ5KPv49kB52	file-J16X4YQJQJGjGX3Jq7XkQ9X7	file-J16X4YjJQJGj2KGfq3VkF8jx	file-J16X4Z0JQJGqzY4YXp34Fp50
chr21	14531336	14537159	ukb24310_c21_b726_v1.chunk3	file-J16X4j0JQJGffQzbzJGpZ09Y	file-J16X4kQJQJGqzY4YXp34Fp59	file-J16X4kjJQJGkJ33VJxGQ5F8j	file-J16X4kjJQJGjGX3Jq7XkQ9XG
chr21	14640004	14645639	ukb24310_c21_b732_v1.chunk1	file-J16X4q8JQJGqzY4YXp34Fp5Y	file-J16X4x8JQJGj2KGfq3VkF8p6	file-J16X4xQJQJGj2KGfq3VkF8p8	file-J16X4xjJQJGjQJ5KPv49kB5g
chr21	14725957	14732101	ukb24310_c21_b736_v1.chunk2	file-J16X4qQJQJGg71f824yxvPvV	file-J16X4xQJQJGXfGBJB50Z2kJF	file-J16X4xjJQJGZ2XyQyk4p11qX	file-J16X4y0JQJGZ2XyQyk4p11qZ
chr21	14649930	14655878	ukb24310_c21_b732_v1.chunk3	file-J16X4zjJQJGg71f824yxvPvq	file-J16X510JQJGb7Vz5Jq52Kb1k	file-J16X51QJQJGfKGXk3vvxJXx8	file-J16X520JQJGzQQ0zjgKF77qP
chr21	14520011	14525825	ukb24310_c21_b726_v1.chunk1	file-J16X510JQJGqzY4YXp34Fp63	file-J16X528JQJGffQzbzJGpZ0Bz	file-J16X52QJQJGz9P84Zz0fz7fZ	file-J16X52jJQJGfPp1YXB4kYz0f
chr21	14720003	14725955	ukb24310_c21_b736_v1.chunk1	file-J16X51jJQJGkJ33VJxGQ5F9F	file-J16X53jJQJGqzY4YXp34Fp6J	file-J16X540JQJGkJ33VJxGQ5F9V	file-J16X548JQJGjQJ5KPv49kB6V
