chrom	chunk_number	chunk_start	proposed_end	adjusted_for_file	adjusted_for_gene	final_chunk_end	not_within_gene	between_genes
chr18	chr18_chunk1	10001	3010001	2846346	safe	2846346	True	SMCHD1 and EMILIN2
chr18	chr18_chunk2	2846347	5846347	5719999	safe	5719999	True	EPB41L3 and MIR3976HG
chr18	chr18_chunk3	5720001	8720001	8692295	safe	8692295	True	TOMM20P3 and GACAT2
chr18	chr18_chunk4	8692297	11692297	11686397	safe	11686397	True	MIR7153 and GNAL
chr18	chr18_chunk5	11686398	14686398	14684742	safe	14684742	True	VN1R74P and GTF2IP8
chr18	chr18_chunk6	14684744	17684744	17684669	safe	17684669	True	RNU6-721P and ROCK1
chr18	chr18_chunk7	17684670	20684670	20684550	safe	20684550	True	RNU6-721P and ROCK1
chr18	chr18_chunk8	20684551	23684551	23679994	safe	23679994	True	RPS10P27 and LAMA3
chr18	chr18_chunk9	23680002	26680002	26453294	safe	26453294	True	LINC01543 and KCTD1
chr18	chr18_chunk10	26453296	29453296	29452357	safe	29452357	True	RNU6-408P and MIR302F
chr18	chr18_chunk11	29452358	32452358	32086128	safe	32086128	True	RNF125 and RNF138
chr18	chr18_chunk12	32086131	35086131	34971907	safe	34971907	True	DTNA and MAPRE2
chr18	chr18_chunk13	34971908	37971908	37971305	safe	37971305	True	RPL12P40 and RN7SKP182
chr18	chr18_chunk14	37971309	40971309	40970099	safe	40970099	True	RPL17P45 and KC6
chr18	chr18_chunk15	40970101	43970101	43965323	safe	43965323	True	SYT4 and RNA5SP455
chr18	chr18_chunk16	43965330	46965330	46665512	safe	46665512	True	LOXHD1 and ST8SIA5
chr18	chr18_chunk17	46665515	49665515	49665066	safe	49665066	True	SMUG1P1 and ACAA2
chr18	chr18_chunk18	49665070	52665070	52339025	safe	52339025	True	RPS8P3 and DCC
chr18	chr18_chunk19	52339031	55339031	55219026	safe	55219026	True	RNA5SP459 and TCF4
chr18	chr18_chunk20	55219029	58219029	58039028	safe	58039028	True	HMGN1P30 and NEDD4L
chr18	chr18_chunk21	58039031	61039031	61039025	safe	61039025	True	HMGN1P31 and CDH20
chr18	chr18_chunk22	61039030	64039030	64039027	safe	64039027	True	SERPINB8 and LINC01924
chr18	chr18_chunk23	64039029	67039029	67039026	safe	67039026	True	RNU6-1037P and MIR5011
chr18	chr18_chunk24	67039030	70039030	69997734	safe	69997734	True	CD226 and RTTN
chr18	chr18_chunk25	69997737	72997737	72996536	safe	72996536	True	NETO1-DT and LINC02864
chr18	chr18_chunk26	72996543	75996543	75995336	safe	75995336	True	LINC01898 and LINC01893
chr18	chr18_chunk27	75995339	78995339	78974139	safe	78974139	True	RNU6-655P and LINC01896
chr18	chr18_chunk28	78974147	81974147	80263285	safe	80263285	True	PARD6G and None
