chrom	start	end	chunk_start	chunk_end	vcf_prefix	output_bcf	output_bcf_idx	output_vep	output_vep_idx
chr18_chunk8	20684551	20685959	20684551	23679994	ukb24310_c18_b1034_v1.chunk3	file-J1jJbK0Jpkjg56ZFXjx8FJG8	file-J1jJbKjJpkjgPxB7FgXyq93g	file-J1jJbP0Jpkjy919QZKZzbQp9	file-J1jJbP8JpkjkYvZYbkGgYVKJ
chr18_chunk8	20685960	20688452	20684551	23679994	ukb24310_c18_b1034_v1.chunk4	file-J1jJX6QJpkjYQ5qPKB55PjX5	file-J1jJX78JpkjvPF5f7v85BPq4	file-J1jJX7QJpkjvjbXfFvv872Xb	file-J1jJX7QJpkjp3Bk2vqGJy02G
chr18_chunk8	20688453	20690794	20684551	23679994	ukb24310_c18_b1034_v1.chunk5	file-J1jG12jJ692PKkzF0q38Jy19	file-J1jG13jJ69282FK2PJVXP7BK	file-J1jG140J692KKq6BJyZj7G5x	file-J1jG148J692Fkb68xB2ykg3v
chr18_chunk8	20690795	20694865	20684551	23679994	ukb24310_c18_b1034_v1.chunk6	file-J1jG1q8J6929Kf7fkJ8YggkK	file-J1jG1v8J6921JpfF1KBJ1G48	file-J1jG1vQJ6924pY8fJ1pVy8bQ	file-J1jG1vjJ6924pY8fJ1pVy8bX
chr18_chunk8	20694866	20696145	20684551	23679994	ukb24310_c18_b1034_v1.chunk7	file-J1jG118J69225Kx5Qb8pgqpX	file-J1jG128J6921vKFJy9qpQ1gz	file-J1jG12QJ6924vffVvBjxYb7P	file-J1jG12jJ6926GQF0K8yb0vyQ
chr18_chunk8	20696147	20697422	20684551	23679994	ukb24310_c18_b1034_v1.chunk8	file-J1jFzq0J6920p4yy6jqQfvXK	file-J1jFzv0J6920b81bXFJ3XF27	file-J1jFzv8J69212yZ2qpZ041b8	file-J1jFzvQJ6920b81bXFJ3XF29
chr18_chunk8	20697423	20698405	20684551	23679994	ukb24310_c18_b1034_v1.chunk9	file-J1jG65QJ6924pY8fJ1pVzQk5	file-J1jG67QJ692KXBkpyjFv7qp4	file-J1jG67jJ692J3556gyQY7J0f	file-J1jG680J6925p5Z51GqGJGGV
chr18_chunk8	20698406	20700000	20684551	23679994	ukb24310_c18_b1034_v1.chunk10	file-J1jG75jJ6926F8663v8QV980	file-J1jG77QJ692JG983Gy3ZVy08	file-J1jG77jJ6926F8663v8QV982	file-J1jG780J6921JpfF1KBJ37Bv
chr18_chunk8	20700001	20701383	20684551	23679994	ukb24310_c18_b1035_v1.chunk1	file-J1jb0KjJK2PKB76VPb7j6qQ4	file-J1jb0Q0JK2P92Bg8Zf2Fjzgp	file-J1jb0Q8JK2P3PZjg1b8F98Z9	file-J1jb0QQJK2P3PZjg1b8F98ZF
chr18_chunk8	20701384	20702747	20684551	23679994	ukb24310_c18_b1035_v1.chunk2	file-J1jb0bQJK2PFb4qBJjVYb9z5	file-J1jb0fjJK2PFb4qBJjVYb9z7	file-J1jb0g0JK2P3PZjg1b8F98Zg	file-J1jb0g8JK2P3k086XKXbzBbx
chr18_chunk8	20702748	20703657	20684551	23679994	ukb24310_c18_b1035_v1.chunk3	file-J1jZz4jJK2PFb4qBJjVYb9vG	file-J1jZz68JK2PFb4qBJjVYb9vQ	file-J1jZz6QJK2PFB3Q9p4VVkKz4	file-J1jZz6QJK2PFB3Q9p4VVkKz8
chr18_chunk8	20703658	20705019	20684551	23679994	ukb24310_c18_b1035_v1.chunk4	file-J1jZzj0JK2PFb4qBJjVYb9xp	file-J1jZzkQJK2P92Bg8Zf2Fjzfp	file-J1jZzkjJK2PFb4qBJjVYb9y0	file-J1jZzp0JK2P3PZjg1b8F98Vf
chr18_chunk8	20705020	20706473	20684551	23679994	ukb24310_c18_b1035_v1.chunk5	file-J1jb1f0JK2PFb4qBJjVYbB4x	file-J1jb1g0JK2P92Bg8Zf2Fjzzf	file-J1jb1g8JK2PFb4qBJjVYbB51	file-J1jb1gQJK2PKB76VPb7j6qjY
chr18_chunk8	20706474	20707363	20684551	23679994	ukb24310_c18_b1035_v1.chunk6	file-J1jb11jJK2PBJQxyk599kQq1	file-J1jb130JK2PKB76VPb7j6qZb	file-J1jb138JK2PBGZq1jJ4GB1YZ	file-J1jb138JK2P0JpVqp1XyvZb2
chr18_chunk8	20707364	20708517	20684551	23679994	ukb24310_c18_b1035_v1.chunk7	file-J1jb0pQJFZXz8bVQ6KQqB43V	file-J1jb0qQJFZXz8bVQ6KQqB43g	file-J1jb0qjJFZXZzJv662fgyvqX	file-J1jb0qjJFZXYFvVbVGFp09K1
chr18_chunk8	20708518	20709756	20684551	23679994	ukb24310_c18_b1035_v1.chunk8	file-J1jZyj8JFZXQgz1QQ1vx0zqY	file-J1jZykQJFZXYFvVbVGFp096g	file-J1jZykQJFZXZzJv662fgyv7v	file-J1jZykjJFZXz8bVQ6KQqB3z2
chr18_chunk8	20709757	20710827	20684551	23679994	ukb24310_c18_b1035_v1.chunk9	file-J1jZvb0JFZXf1K202JZjYQzP	file-J1jZvf0JFZXf1K202JZjYQzV	file-J1jZvf8JFZXx1YXx1pyKY8ZK	file-J1jZvfQJFZXqp5BB5G89Bq63
chr18_chunk8	20710828	20711716	20684551	23679994	ukb24310_c18_b1035_v1.chunk10	file-J1j3g8jJp6xP9g82XgJ809Px	file-J1j3gB8Jp6xKVzQXGBYBfkgp	file-J1j3gB8Jp6x43pVbf4YXgF88	file-J1j3gBQJp6xP9g82XgJ809Pz
chr18_chunk8	20711717	20713292	20684551	23679994	ukb24310_c18_b1035_v1.chunk11	file-J1j3Y40Jp6x1B69BgBFQgG9F	file-J1j3Y58Jp6x6x3fK3XFp88bK	file-J1j3Y5QJp6x6fY3yGGxZ0Bj3	file-J1j3Y5jJp6x4vyqybqjQpKx2
chr18_chunk8	20713293	20714730	20684551	23679994	ukb24310_c18_b1035_v1.chunk12	file-J1j3GyQJp6xFq8fBJx48bbFZ	file-J1j3Gz8Jp6xBbVVffqx28byk	file-J1j3GzQJp6xBbVVffqx28byq	file-J1j3GzjJp6xFGG2xb8zp1Kz4
